"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtime', 'time_offset']"
58,-2.7946215420724654,-1.5859448968542629,111.10330795301812,0.11635720445899608,0.0,7,20,260,7,20,260,16.660531759262085,250
59,-2.7641393131998306,-1.5716574276380468,110.13319127611265,0.11534121257967986,0.0,7,20,260,7,20,260,16.74373722076416,250
60,-2.7643286552808117,-1.5670163398101742,109.22731584030873,0.1143924998066013,0.0,7,20,260,7,20,260,16.910017013549805,251
61,-2.7248931052879706,-1.5764685209756963,108.42266424797563,0.1135497975894609,0.0,7,20,260,7,20,260,16.961899042129517,250
62,-2.7264038720125128,-1.5920714281978174,107.75454197585529,0.11285008094378005,0.0,7,20,260,7,20,260,17.107901096343994,250
63,-2.6497743645721843,-1.605395056400511,107.25627791064187,0.1123282548252934,0.0,7,20,260,7,20,260,17.174115657806396,250
0,-2.6597246217938735,-1.6202186041830342,106.95894406450373,0.11201686059127311,0.0,7,20,260,7,20,260,17.209129571914673,250
1,-2.6334549773332556,-1.6412980778528499,106.8910968612563,0.11194580505254409,0.0,7,20,260,7,20,260,17.31064748764038,250
2,-2.6432227446894427,-1.6587062297988484,107.07854217867009,0.11214211440502261,0.0,7,20,260,7,20,260,17.493399143218994,250
3,-2.6818119977734494,-1.6777501976233444,107.5441261087893,0.1126297150954298,0.0,7,20,260,7,20,260,17.62728476524353,250
4,-2.7029235250059855,-1.6849027919415875,108.3075531582449,0.11342924342459268,0.0,7,20,260,7,20,260,17.727302312850952,250
5,-2.713452910292573,-1.699172573831849,109.38523335659832,0.11455788542578871,0.0,7,20,260,7,20,260,17.875592708587646,250
6,-2.7558072600180448,-1.715129388192953,110.79015947509603,0.11602924827737368,0.0,7,20,260,7,20,260,18.011099338531494,250
7,-2.796073495416457,-1.7344490820229188,112.53181528328398,0.1178532642210014,0.0,7,20,260,7,20,260,18.126067876815796,250
8,-2.84739796547923,-1.759994252970258,114.61611548923764,0.12003612766172364,0.0,7,20,260,7,20,260,18.24312925338745,250
