"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtime']"
12,-2.728767746456181,-2.4882324733999277,130.13362037715868,0.13628743050375935,0.0,7,20,260,7,20,260,20.486436128616333,240
13,-2.8425827474597,-2.5766088546479935,134.1986167908378,0.14054465407267047,0.0,7,20,260,7,20,260,20.70110011100769,250
14,-2.928128400336502,-2.6642256595096137,138.54936950818185,0.14510114689895395,0.0,7,20,260,7,20,260,20.868125438690186,249
15,-3.0782623121114705,-2.752301751521007,143.16486779987332,0.1499349046899802,0.0,7,20,260,7,20,260,21.06819224357605,250
16,-3.138450088546838,-2.8388560821328985,148.02138318096274,0.15502107687922878,0.0,7,20,260,7,20,260,21.218884706497192,251
17,-3.2482157472795383,-2.933219438527523,153.09269999650533,0.1603322081159465,0.0,7,20,260,7,20,260,21.337382555007935,250
18,-3.3491178494060914,-3.035353552060314,158.35036680153695,0.16583850153247398,0.0,7,20,260,7,20,260,21.40328097343445,250
19,-3.4512740283591694,-3.1451323123816364,163.76396618070208,0.17150810132320637,0.0,7,20,260,7,20,260,21.486836194992065,250
20,-3.5483032987139036,-3.2575514236648124,169.3014005017737,0.17730739201093454,0.0,7,20,260,7,20,260,21.700409650802612,249
21,-3.6858825664750263,-3.3557298432389016,174.9291909694392,0.1832013116423995,0.0,7,20,260,7,20,260,21.803276300430298,250
22,-3.809080676248027,-3.462023481443949,180.6127872420752,0.18915367604634292,0.0,7,20,260,7,20,260,22.0021493434906,250
23,-3.9672130004934347,-3.572045142580659,186.31688479559614,0.19512751120497834,0.0,7,20,260,7,20,260,22.186283826828003,250
24,-4.036212856661684,-3.6859263263436204,192.00574716538944,0.20108539073422396,0.0,7,20,260,7,20,260,22.352858543395996,249
25,-4.158682079161191,-3.797517534509071,197.64353017017527,0.20698977543958388,0.0,7,20,260,7,20,260,22.533770084381104,250
26,-4.260750599742373,-3.9057140305925557,203.19460522045313,0.21280335191332647,0.0,7,20,260,7,20,260,22.605210304260254,250
27,-4.353760451027949,-4.0061560845888415,208.6238788388738,0.21848936716445716,0.0,7,20,260,7,20,260,22.686197996139526,250
28,-4.460262090875557,-4.103650140836351,213.89710557004747,0.22401195632552345,0.0,7,20,260,7,20,260,22.76959991455078,250
29,-4.596374797684728,-4.2023205046780285,218.981191532362,0.2293364605589069,0.0,7,20,260,7,20,260,22.85249137878418,249
30,-4.748906493901281,-4.299641614540427,223.84448596353684,0.2344297323890939,0.0,7,20,260,7,20,260,23.051782369613647,258
31,-4.812752062496604,-4.391431653815513,228.45705823384841,0.2392604258154075,0.0,7,20,260,7,20,260,23.13711190223694,242
32,-4.88667552932731,-4.476471549272912,232.79095794501063,0.24379926871054203,0.0,7,20,260,7,20,260,23.268849849700928,250
